epoch,train_loss,val_loss,val_roc_auc,val_pr_auc,learning_rate
1,1.0158586139264314,0.9380153146657076,0.841245479596734,0.3661012246396594,0.001
2,0.9590671846400136,0.9176059852946888,0.8466075276111118,0.36861862386046623,0.001
3,0.9511058097300322,0.9116970463232561,0.8485239306027835,0.3727776045943652,0.001
4,0.9490079516949861,0.9201243790713224,0.846567265205258,0.36971815490497256,0.001
5,0.9454096426134524,0.9149015925147317,0.8474714917367248,0.36888120106114336,0.001
6,0.9455726094867872,0.9150187860835682,0.848208979391775,0.3685407744413237,0.001
7,0.9414652858091437,0.9050897468220104,0.8495822775392666,0.372647488181911,0.001
8,0.9392448164846586,0.9134996858510104,0.8485487299107372,0.370448348565144,0.001
9,0.9414344397575959,0.9121319489045576,0.8479180980973096,0.3680127130427951,0.001
10,0.9369542903226354,0.9094083471731707,0.848940121341555,0.3724845450026409,0.001
11,0.938971045224563,0.9082259264859286,0.8484626617243105,0.37242171882346686,0.001
12,0.9373922749705936,0.9100871790539135,0.8478377191638842,0.36898677991434575,0.001
13,0.9324700398289639,0.9026674194769426,0.8496958437818651,0.3732285006504281,0.001
14,0.9362568200930305,0.90962815284729,0.8493448606351831,0.3722483360580667,0.001
15,0.9332142375085665,0.9072264216162942,0.8494754216976439,0.37149358966593526,0.001
16,0.9369253548591033,0.9094250418923118,0.8493816949014081,0.3723073068238319,0.001
17,0.9349841106197109,0.9122011769901622,0.8485062793306521,0.37102151576810627,0.001
18,0.9340914746989375,0.9076239737597379,0.8491560211990319,0.37124046830556134,0.001
19,0.9336409581744153,0.9098763465881348,0.8490200626401343,0.37276762799518287,0.001
20,0.9315189311037892,0.9047342159531333,0.8500699486362567,0.3727486342473855,0.001
21,0.9312471527120342,0.9104884537783536,0.8491497484329025,0.37079594284668294,0.001
22,0.930549179730208,0.9091177799484946,0.8494085365053107,0.3722382439668655,0.001
23,0.932601532858351,0.9088937640190125,0.8491039426523297,0.3718513664615236,0.001
24,0.9312586538169695,0.9100630283355713,0.8489730168941638,0.3714988798919001,0.001
