trial,pr_auc,roc_auc,hidden_dims,dropout,lr,weight_decay,batch_size,use_pos_weight
1,0.3732285006504281,0.8496958437818651,"(128, 64, 32)",0.25,0.001,0.0001,1024,True
4,0.371714072710402,0.8496057639426815,"(128, 64, 16)",0.15,0.0005,0.0005,512,True
5,0.37156168038834353,0.8502183797882723,"(128, 64, 32)",0.2,0.001,0.0001,1024,False
2,0.3713337823386824,0.8506433961631096,"(256, 128, 64)",0.3,0.0005,0.0001,1024,True
3,0.36892688286344355,0.850661047435241,"(256, 128, 32)",0.2,0.001,5e-05,512,True
