epoch,train_loss,val_loss,val_roc_auc,val_pr_auc,learning_rate
1,1.0364380925893784,0.9383677677674727,0.8388613908327169,0.3666590123214177,0.001
2,0.9558686639951623,0.9263203144073486,0.8426854441191359,0.36754497371519723,0.001
3,0.949245322657668,0.9241807189854708,0.8455615803286055,0.3667421049719497,0.001
4,0.94618435787118,0.9171083027666266,0.8462690899966885,0.3697129739553067,0.001
5,0.9443253842384919,0.9179329980503429,0.8439615143916219,0.36896725645358636,0.001
6,0.9431820550690526,0.9179017652164806,0.8461643493901557,0.37079809719887197,0.001
7,0.9425982580236767,0.9184949398040771,0.8448171634551562,0.36895333433786537,0.001
8,0.9406752515098323,0.9110717610879377,0.8469194883173377,0.37127133010996544,0.001
9,0.9376467932825503,0.9111749963326887,0.8482173673929945,0.37140014500837815,0.001
10,0.9378354970527731,0.9105635664679788,0.8471788599028742,0.37231648893486835,0.001
11,0.9370684034150579,0.9163468154993925,0.8463720800638365,0.37038953388128376,0.001
12,0.935314918341844,0.9113105806437406,0.8479205780281049,0.3710542652763363,0.001
13,0.9359464029902997,0.9131974144415422,0.8478864425100985,0.3722059849986003,0.001
14,0.9346418264119521,0.9077658111398871,0.8493223224406019,0.3732394331092135,0.001
15,0.9351588468188825,0.9139816923574968,0.8481373531552745,0.36903553091570107,0.001
16,0.9349068571691928,0.9068804545836016,0.848879071280505,0.37079287597470756,0.001
17,0.9337667978328207,0.9117507663640109,0.8478944658156127,0.3703795665156139,0.001
18,0.9348878387523734,0.9134521701119163,0.8469251046311977,0.36951870280303595,0.001
19,0.9332595843335857,0.9152504530819979,0.848219920262931,0.3682762015975283,0.001
20,0.9317213329284088,0.9106461514126171,0.8480661645536196,0.37223539094358166,0.001
21,0.9319942625968353,0.9080204963684082,0.8484992771731122,0.3714779365888509,0.001
22,0.9334648925325145,0.911720796064897,0.8482928594039705,0.3730338247082458,0.001
23,0.9306085161540819,0.9095863158052618,0.8482207955326234,0.3713574929480058,0.001
24,0.9293959043596102,0.9107964472337202,0.8477312280179663,0.3701103236584711,0.001
25,0.9281054190967394,0.9122742306102406,0.8478594550279138,0.37102920323914473,0.001
26,0.9303786229828129,0.9118620699102228,0.8472530390093114,0.37018198958144555,0.001
27,0.930293698673663,0.9095765243877064,0.8488547825465389,0.3720760868839544,0.001
28,0.9304239445406458,0.9111813631924716,0.8475471296259827,0.3706658805664569,0.001
29,0.9296308878971182,0.9080534523183649,0.8488489474152557,0.3702907166473012,0.001
30,0.9294868150483007,0.9130432063883002,0.847289216823267,0.3710749329034551,0.001
31,0.9299329344345175,0.9166247248649597,0.8470563950850689,0.369936723125066,0.001
32,0.9302069058884745,0.9114857803691517,0.8481764485348715,0.3707448625203302,0.001
33,0.9290169710698335,0.9119216962294145,0.8471242284862357,0.3690906397693545,0.001
34,0.9286881659341895,0.9080231623216108,0.8493045252901884,0.3707311358931449,0.001
35,0.9277976071057112,0.912469517100941,0.8486806038777365,0.3694650560589773,0.001
36,0.9261190230431764,0.907988662069494,0.848984322461025,0.37090014609149297,0.001
37,0.9235475646412891,0.9039230129935525,0.8494849767251201,0.37259752013114594,0.001
38,0.9276326182095901,0.9118089134042914,0.8489077363629335,0.3670123939838753,0.001
39,0.9255578738191853,0.9072669256817211,0.8492256780787248,0.3719360084606896,0.001
40,0.9245923919522244,0.9069446758790449,0.8486218149300587,0.37087140971426014,0.001
41,0.9260993690594382,0.9094667055390098,0.8485268481684253,0.36905946475006823,0.001
42,0.9254991146533386,0.9081896435130726,0.8493313668940908,0.3720527566895624,0.001
43,0.9240749089614205,0.9073845256458629,0.8484289638411502,0.37084206465074476,0.001
44,0.9246173099331234,0.9084882573647932,0.8484091243947876,0.3698890151087269,0.001
45,0.9240420279295548,0.9081417593089017,0.8492822059130304,0.37179981966632003,0.001
46,0.924790760745173,0.91124042597684,0.8480651434056452,0.37050983331976844,0.001
47,0.9226646410382312,0.9084490212527189,0.8491981800225528,0.373058458457492,0.001
48,0.9263178531242453,0.906093418598175,0.8495430362813876,0.37166610958921825,0.001
49,0.923823061844577,0.9109747301448475,0.8482611308776183,0.371751248475161,0.001
50,0.9236270221679107,0.9119186509739269,0.849599053541706,0.3713244363946389,0.001
51,0.9246615126081135,0.9078624411062761,0.8494199150113129,0.37082345796425464,0.001
52,0.9255015435426132,0.9044877236539667,0.8498549240484724,0.3712566639094908,0.001
53,0.9232845416535502,0.9116949439048767,0.8486436966723706,0.37005223798319153,0.001
54,0.9232206642627716,0.9105120463804766,0.8484378624163571,0.37033478676644505,0.001
55,0.9229263326396113,0.9074908657507463,0.849139682831439,0.37150691001072317,0.001
56,0.9230017623175746,0.908301900733601,0.8494832261857351,0.3701385463888122,0.001
57,0.9211044311523438,0.9072148854082281,0.8493243647365512,0.37047868121870947,0.001
58,0.9210061534591343,0.9095620946450667,0.8489169266947044,0.3684656530847758,0.001
59,0.9245973255323328,0.9058637402274392,0.8499269879198195,0.372173588658192,0.001
60,0.9248196262380352,0.9094746221195568,0.8487163440568459,0.37102664281346753,0.001
61,0.9232672258563663,0.9047803445295854,0.8502357393038398,0.36961823439099134,0.001
62,0.9186823089485583,0.9111685861240734,0.8487352352943751,0.36924236647048764,0.001
63,0.9240048495323762,0.9067828871987083,0.8492721403115668,0.3714554465687386,0.001
64,0.9215547513702641,0.9064093069596724,0.8491729430797531,0.37135931221765667,0.001
65,0.9218162557353144,0.9076244235038757,0.8488046004175036,0.37020395238738507,0.001
66,0.919802017185999,0.908754207871177,0.848712988856358,0.3699026459100388,0.001
67,0.9204824657543845,0.9096208377317949,0.8493363267556816,0.3700132093045269,0.001
68,0.9220427158086196,0.9069381193681196,0.8495579158661595,0.37170400106129314,0.0005
69,0.9167967827423759,0.9075605923479254,0.8493752762569967,0.37108171154116754,0.0005
70,0.9181791511566743,0.9093983227556403,0.8487433315390305,0.371154697023845,0.0005
71,0.9173645940811738,0.9070739529349587,0.8492345037147905,0.3706968680823871,0.0005
72,0.9188746861789537,0.9075526649301703,0.8490934394160201,0.3707448466997943,0.0005
73,0.916427511235942,0.9090161594477567,0.8491911049258719,0.37023645340399614,0.0005
74,0.9200303483268489,0.908947532827204,0.8486629526056049,0.3700079460551205,0.0005
75,0.9203561758217604,0.9106372161345049,0.8484736025954663,0.37019774217676926,0.0005
76,0.9171229613863904,0.9086769060655073,0.8490067877164652,0.36997937938251696,0.0005
77,0.9190803617238998,0.9068820530718024,0.849784318959946,0.37011831725958355,0.0005
78,0.9181524761345076,0.909877126867121,0.8481999349382862,0.368656034157986,0.0005
79,0.9170433950165043,0.9090168855407021,0.8483678408409591,0.3692402937227719,0.0005
80,0.9175509460594343,0.9072880365631797,0.8490140816305691,0.37065522813635515,0.0005
81,0.9168802227662958,0.9063799327070062,0.8492911044882371,0.3700930466490086,0.0005
82,0.9184927920932355,0.9080875841054049,0.8486431131592423,0.37009387421699436,0.0005
83,0.9160585856955984,0.9088856686245311,0.8486037260230809,0.37133686472209304,0.0005
84,0.9186305617508681,0.9080344113436613,0.8486757898944278,0.3703418102411904,0.0005
85,0.9158039442870928,0.9092017303813588,0.848781405770653,0.36972352538069714,0.0005
86,0.9188649226789889,0.9091019576246088,0.8488140095666978,0.3689331787961936,0.0005
87,0.9163268467654353,0.9073419570922852,0.8494512788419599,0.3703407005469481,0.0005
88,0.9179469819950021,0.9092438275163824,0.848400955210991,0.36956749604114625,0.0005
89,0.9172479886075725,0.909273624420166,0.8486235654694436,0.3698255817760577,0.0005
90,0.914276826640834,0.9098520495674827,0.8483228373909377,0.36835242434622084,0.0005
91,0.9150505785060965,0.9104284698312933,0.8483056966927935,0.36703925834602774,0.0005
92,0.9188420953957931,0.9069332046942278,0.8489121127113959,0.367957785087006,0.0005
93,0.9161713350078334,0.907003944570368,0.849058282750039,0.36859069941918604,0.0005
94,0.9163998300614564,0.9096972833980214,0.8481617148283815,0.36678529430907525,0.0005
95,0.9158838397782781,0.9073903343894265,0.8494161221759788,0.36859394879008084,0.0005
