age_group,n_clientes,tasa_morosidad_real,score_medio_modelo,tasa_denegacion_cost_1_10,tasa_denegacion_cost_1_1,ratio_1_10,ratio_1_1
18-25,1369,0.11468224981738495,0.47137,0.46092037983929873,0.03871439006574142,4.019108280254777,0.33757961783439494
25-35,12091,0.11239765114548012,0.4556117,0.40203457116863783,0.0383756513108924,3.5768947755702722,0.34142752023546724
35-45,20053,0.09180671221263652,0.39930543,0.3067870144118087,0.030668727871141475,3.3416621401412274,0.334057577403585
45-55,25710,0.07662388175807079,0.34538844,0.23889537145079737,0.021081291326332168,3.117766497461929,0.2751269035532995
55-65,23846,0.04789063155246163,0.25669634,0.14329447286756689,0.010945231904721965,2.992119089316988,0.22854640980735552
65+,21600,0.025277777777777777,0.17604838,0.07185185185185185,0.0031018518518518517,2.842490842490842,0.1227106227106227
